阿拉伯語	阿拉伯语	Ālābóyǔ	Arabic (language)	[sound:cmn-阿拉伯语.mp3]
加重	加重	jiāzhòng	make heavier, punctuate, increase, make or become more serious, weight, become more serious, exacerbate, aggravate, exasperate, make more serious, become heavier, increase the weight of, make	[sound:cmn-加重.mp3]
佳節	佳节	jiājié	festive day, holiday	[sound:cmn-佳节.mp3]
家伙	家伙	jiāhuo	household dish, implement or furniture, domestic animal, (coll.) guy, chap, weapon	[sound:cmn-家伙.mp3]
家家戶戶	家家户户	jiājiā-hùhù	each and every family (idiom), every household	[sound:cmn-家家户户.mp3]
家教	家教	jiājiào	tutor	[sound:cmn-家教.mp3]
家境	家境	jiājìng	family financial situation, family circumstances	[sound:cmn-家境.mp3]
家用	家用	jiāyòng	family used	[sound:cmn-家用.mp3]
家禽	家禽	jiāqín	poultry, domestic fowl	[sound:cmn-家禽.mp3]
家喻戶曉	家喻户晓	jiāyù-hùxiǎo	understood by everyone (idiom), well known, a household name	[sound:cmn-家喻户晓.mp3]
家政	家政	jiāzhèng	housekeeping	[sound:cmn-家政.mp3]
家族	家族	jiāzú	tribe, covey, family line, race, household, menage, ilk, kinfolk, kin, clan, kinsfolk, phratry, kinship group, kindred, folk, people, kin group, sept, family	[sound:cmn-家族.mp3]
嘉年華	嘉年华	jiāniánhuá	carnival (loanword)	[sound:cmn-嘉年华.mp3]
假冒	假冒	jiǎmào	to impersonate, to pose as (someone else), to counterfeit, to palm off (a fake as a genuine)	[sound:cmn-假冒.mp3]
假設	假设	jiǎshè	suppose, assume, presume	[sound:cmn-假设.mp3]
假定	假定	jiǎdìng	to assume, to suppose, supposed, so-called, assumption, hypothesis	[sound:cmn-假定.mp3]
價位	价位	jiàwèi	price	[sound:cmn-价位.mp3]
假裝	假装	jiǎzhuāng	pretend, feign, simulate	[sound:cmn-假装.mp3]
價值觀	价值观	jiàzhíguān	values, valuation	[sound:cmn-价值观.mp3]
假使	假使	jiǎshǐ	conj.: if, in case, in the event that	[sound:cmn-假使.mp3]
駕車	驾车	jiàchē	drive, drive a vehicle, drive a car	[sound:cmn-驾车.mp3]
駕馭	驾驭	jiàyù	to urge on (of horse), to drive, to steer, to handle, to manage, to master, to dominate	[sound:cmn-驾驭.mp3]
駕	驾	jià	harness, draw (cart/etc.), drive, pilot, sail	[sound:cmn-驾.mp3]
架勢	架势	jiàshi	attitude, position (on an issue etc)	[sound:cmn-架势.mp3]
嫁	嫁	jià	marry (of a woman)	[sound:cmn-嫁.mp3]
架子	架子	jiàzi	shelf, frame, stand, framework, airs, arrogance	[sound:cmn-架子.mp3]
嫁妝	嫁妆	jiàzhuang	dowry	[sound:cmn-嫁妆.mp3]
尖端	尖端	jiānduān	sharp pointed end, the tip, the cusp, tip-top, most advanced and sophisticated, highest peak, the best	[sound:cmn-尖端.mp3]
尖銳	尖锐	jiānruì	sharp-pointed, sharpen, penetrate, acuminate, shrill, sharp, sharpened, intense, penetrating, piercing, incisive, acute	[sound:cmn-尖锐.mp3]
奸詐	奸诈	jiānzhà	treachery, devious, a rogue	[sound:cmn-奸诈.mp3]
堅持不懈	坚持不懈	jiānchí-bùxiè	to persevere unremittingly (idiom), to keep going until the end	[sound:cmn-坚持不懈.mp3]
堅韌	坚韧	jiānrèn	tough and durable, tenacious	[sound:cmn-坚韧.mp3]
殲滅	歼灭	jiānmiè	to wipe out, to crush, to annihilate	[sound:cmn-歼灭.mp3]
堅實	坚实	jiānshí	firm and substantial, solid	[sound:cmn-坚实.mp3]
堅守	坚守	jiānshǒu	to hold fast to, to stick to	[sound:cmn-坚守.mp3]
堅信	坚信	jiānxìn	to believe firmly, without any doubt	[sound:cmn-坚信.mp3]
堅硬	坚硬	jiānyìng	hard, solid	[sound:cmn-坚硬.mp3]
肩膀	肩膀	jiānbǎng	shoulder	[sound:cmn-肩膀.mp3]
肩負	肩负	jiānfù	to shoulder (a burden), to bear, to suffer (a disadvantage)	[sound:cmn-肩负.mp3]
艱巨	艰巨	jiānjù	arduous, terrible (task), very difficult, formidable	[sound:cmn-艰巨.mp3]
艱苦奮鬥	艰苦奋斗	jiānkǔ-fèndòu	to struggle arduously	[sound:cmn-艰苦奋斗.mp3]
艱險	艰险	jiānxiǎn	difficult and dangerous, hardships and perils	[sound:cmn-艰险.mp3]
艱辛	艰辛	jiānxīn	hardships, arduous, difficult	[sound:cmn-艰辛.mp3]
監察	监察	jiānchá	to supervise, to control	[sound:cmn-监察.mp3]
監管	监管	jiānguǎn	to oversee, to take charge of, to supervise, to administer, supervisory, supervision	[sound:cmn-监管.mp3]
監護	监护	jiānhù	to act as a guardian	[sound:cmn-监护.mp3]
監控	监控	jiānkòng	to monitor	[sound:cmn-监控.mp3]
監視	监视	jiānshì	to monitor, to keep a close watch over, surveillance	[sound:cmn-监视.mp3]
監獄	监狱	jiānyù	prison, jail	[sound:cmn-监狱.mp3]
兼	兼	jiān	hold two or more jobs concurrently, do concurrently	[sound:cmn-兼.mp3]
兼顧	兼顾	jiāngù	take account of, give consideration to, deal with two or more things	[sound:cmn-兼顾.mp3]
兼任	兼任	jiānrèn	hold a concurrent post, part-time, hold concurrent post	[sound:cmn-兼任.mp3]
兼容	兼容	jiānróng	compatible	[sound:cmn-兼容.mp3]
兼職	兼职	jiānzhí	to hold concurrent posts, concurrent job, moonlighting	[sound:cmn-兼职.mp3]
煎	煎	jiān	to pan fry, to sauté	[sound:cmn-煎.mp3]
揀	拣	jiǎn	to choose, to pick, to sort out, to pick up	[sound:cmn-拣.mp3]
檢察	检察	jiǎnchá	to inspect, (law) to prosecute, to investigate	[sound:cmn-检察.mp3]
檢討	检讨	jiǎntǎo	discuss thoroughly, self-criticize	[sound:cmn-检讨.mp3]
減免	减免	jiǎnmiǎn	to reduce or waive (taxes, punishment, rent, tuition etc)	[sound:cmn-减免.mp3]
減弱	减弱	jiǎnruò	to weaken, to fall off	[sound:cmn-减弱.mp3]
減速	减速	jiǎn sù	to reduce speed, to slow down, to take it easy	[sound:cmn-减速.mp3]
減壓	减压	jiǎn yā	to reduce pressure, to relax	[sound:cmn-减压.mp3]
簡稱	简称	jiǎnchēng	be called sth. for short	[sound:cmn-简称.mp3]
簡短	简短	jiǎnduǎn	brief, short-duration	[sound:cmn-简短.mp3]
簡化	简化	jiǎnhuà	simplify	[sound:cmn-简化.mp3]
簡潔	简洁	jiǎnjié	concise, succinct, pithy	[sound:cmn-简洁.mp3]
簡陋	简陋	jiǎnlòu	simple and crude	[sound:cmn-简陋.mp3]
簡體字	简体字	jiǎntǐzì	simplified Chinese character, as opposed to traditional Chinese character 繁體字|繁体字[fan2 ti3 zi4]	[sound:cmn-简体字.mp3]
簡要	简要	jiǎnyào	concise, brief	[sound:cmn-简要.mp3]
簡易	简易	jiǎnyì	simple and easy, simply constructed, unsophisticated	[sound:cmn-简易.mp3]
見錢眼開	见钱眼开	jiànqián-yǎnkāi	to open one's eyes wide at the sight of profit (idiom), thinking of nothing but personal gain, money-grubbing	[sound:cmn-见钱眼开.mp3]
見解	见解	jiànjiě	eyeshot, view, horizon, understanding, outlook, light, eyes, spectacle, judgment, sentiment, eyesight, opinion, thought, sight, standpoint, bet, hypothesis, eye, viewpoint, theory, possibility, judgement, slant, doxy, purview, ruling, thinking, supposal, position, persuasion, mind	[sound:cmn-见解.mp3]
見仁見智	见仁见智	jiànrén-jiànzhì	opinions differ (idiom)	[sound:cmn-见仁见智.mp3]
見識	见识	jiànshi	knowledge and experience, to increase one's knowledge	[sound:cmn-见识.mp3]
見外	见外	jiànwài	to regard somebody as an outsider	[sound:cmn-见外.mp3]
見效	见效	jiàn xiào	to have the desired effect	[sound:cmn-见效.mp3]
見義勇為	见义勇为	jiànyì-yǒngwéi	to see what is right and act courageously (idiom, from Analects), to stand up bravely for the truth, acting heroically in a just cause	[sound:cmn-见义勇为.mp3]
見證	见证	jiànzhèng	to be witness to, witness, evidence	[sound:cmn-见证.mp3]
間諜	间谍	jiàndié	spy	[sound:cmn-间谍.mp3]
間斷	间断	jiànduàn	disconnected, interrupted, suspended	[sound:cmn-间断.mp3]
間隔	间隔	jiàngé	compartment, gap, interval, to divide	[sound:cmn-间隔.mp3]
間隙	间隙	jiànxì	interval, gap, clearance	[sound:cmn-间隙.mp3]
建交	建交	jiàn jiāo	to establish diplomatic relations	[sound:cmn-建交.mp3]
建樹	建树	jiànshù	to make a contribution, to establish, to found, contribution	[sound:cmn-建树.mp3]
建築師	建筑师	jiànzhùshī	surveyor, architect	[sound:cmn-建筑师.mp3]
建築物	建筑物	jiànzhùwù	foundation, shebang, erection, superstructure, buildup, architecture, construct, construction, edifice, building, structure, place, tenement, property, house, fabric	[sound:cmn-建筑物.mp3]
健美	健美	jiànměi	healthy and beautiful, to do fitness exercises, abbr. for 健美運動|健美运动[jian4 mei3 yun4 dong4]	[sound:cmn-健美.mp3]
賤	贱	jiàn	inexpensive, lowly	[sound:cmn-贱.mp3]
健壯	健壮	jiànzhuàng	robust, healthy, sturdy	[sound:cmn-健壮.mp3]
濺	溅	jiàn	to splash	[sound:cmn-溅.mp3]
鑒別	鉴别	jiànbié	to differentiate, to distinguish	[sound:cmn-鉴别.mp3]
鑒賞	鉴赏	jiànshǎng	to appreciate	[sound:cmn-鉴赏.mp3]
姜	姜	jiāng	surname Jiang, ginger	[sound:cmn-姜.mp3]
鑒於	鉴于	jiànyú	conj.: in view of, seeing that	[sound:cmn-鉴于.mp3]
僵	僵	jiāng	rigid, deadlock, stiff (corpse), variant of 僵[jiang1]	[sound:cmn-僵.mp3]
僵化	僵化	jiānghuà	to become rigid	[sound:cmn-僵化.mp3]
僵局	僵局	jiāngjú	impasse, deadlock	[sound:cmn-僵局.mp3]
講解	讲解	jiǎngjiě	to explain	[sound:cmn-讲解.mp3]
講述	讲述	jiǎngshù	to talk about, to narrate, to give an account	[sound:cmn-讲述.mp3]
講學	讲学	jiǎng xué	to lecture (on branch of learning)	[sound:cmn-讲学.mp3]
獎杯	奖杯	jiǎngbēi	trophy cup	[sound:cmn-奖杯.mp3]
獎牌	奖牌	jiǎngpái	medal (awarded as a prize)	[sound:cmn-奖牌.mp3]
獎品	奖品	jiǎngpǐn	accolade, gainings, trophy, award, prize, prix, gree	[sound:cmn-奖品.mp3]
獎項	奖项	jiǎngxiàng	award, prize, CL:項|项[xiang4]	[sound:cmn-奖项.mp3]
降臨	降临	jiànglín	to descend, to arrive, to come	[sound:cmn-降临.mp3]
交叉	交叉	jiāochā	cut, alternate, intercross, stagger, decussate, intersect, overlap, overlapping, intersection, cross, crisscross	[sound:cmn-交叉.mp3]
交鋒	交锋	jiāo fēng	to cross swords, to have a confrontation (with sb)	[sound:cmn-交锋.mp3]
交付	交付	jiāofù	to hand over, to deliver	[sound:cmn-交付.mp3]
交集	交集	jiāojí	intersection (symbol ∩) (set theory)	[sound:cmn-交集.mp3]
交接	交接	jiāojiē	(of two things) to come into contact, to meet, to hand over to, to take over from, to associate with, to have friendly relations with, to have sexual intercourse	[sound:cmn-交接.mp3]
交界	交界	jiāojiè	common boundary, common border	[sound:cmn-交界.mp3]
交情	交情	jiāoqing	friendship, friendly relations	[sound:cmn-交情.mp3]
交納	交纳	jiāonà	to pay (taxes or dues)	[sound:cmn-交纳.mp3]
交涉	交涉	jiāoshè	to negotiate, relating to	[sound:cmn-交涉.mp3]
交談	交谈	jiāotán	converse, chat	[sound:cmn-交谈.mp3]
交替	交替	jiāotì	to replace, alternately, in turn	[sound:cmn-交替.mp3]
交頭接耳	交头接耳	jiāotóu-jiēěr	to whisper to one another's ear	[sound:cmn-交头接耳.mp3]
交響樂	交响乐	jiāoxiǎngyuè	symphony	[sound:cmn-交响乐.mp3]
郊遊	郊游	jiāoyóu	to go for an outing, to go on an excursion	[sound:cmn-郊游.mp3]
郊外	郊外	jiāowài	outskirts	[sound:cmn-郊外.mp3]
澆	浇	jiāo	to pour liquid, to irrigate (using waterwheel), to water, to cast (molten metal), to mold	[sound:cmn-浇.mp3]
嬌慣	娇惯	jiāoguàn	to pamper, to coddle, to spoil	[sound:cmn-娇惯.mp3]
嬌氣	娇气	jiāoqi	delicate, squeamish, finicky	[sound:cmn-娇气.mp3]
膠囊	胶囊	jiāonáng	capsule (pharm.), caplet	[sound:cmn-胶囊.mp3]
膠片	胶片	jiāopiàn	(photographic) film	[sound:cmn-胶片.mp3]
焦	焦	jiāo	surname Jiao, burnt, scorched, charred, worried, anxious, coke	[sound:cmn-焦.mp3]
焦距	焦距	jiāojù	focal length, focal distance	[sound:cmn-焦距.mp3]
焦急	焦急	jiāojí	anxiety, anxious	[sound:cmn-焦急.mp3]
焦慮	焦虑	jiāolǜ	anxious, apprehensive	[sound:cmn-焦虑.mp3]
焦躁	焦躁	jiāozào	fretful, impatient	[sound:cmn-焦躁.mp3]
嚼	嚼	jué	to chew, also pr. [jue2]	[sound:cmn-嚼.mp3]
礁石	礁石	jiāoshí	reef	[sound:cmn-礁石.mp3]
絞	绞	jiǎo	to twist (strands into a thread), to entangle, to wring, to hang (by the neck), to turn, to wind, classifier for skeins of yarn	[sound:cmn-绞.mp3]
狡猾	狡猾	jiǎohuá	crafty, cunning, sly	[sound:cmn-狡猾.mp3]
角落	角落	jiǎoluò	nook, quoin, angle, corner	[sound:cmn-角落.mp3]
矯正	矫正	jiǎozhèng	to correct, to rectify (e.g. a physical defect such as hearing or vision), to cure, rectification, correction, to straighten	[sound:cmn-矫正.mp3]
攪拌	搅拌	jiǎobàn	to stir, to agitate	[sound:cmn-搅拌.mp3]
攪	搅	jiǎo	to disturb, to annoy, to mix, to stir	[sound:cmn-搅.mp3]
繳	缴	jiǎo	turn_in, hand in, hand over/in, capture, pay, in, shell_out, hand over	[sound:cmn-缴.mp3]
繳費	缴费	jiǎofèi	to pay a fee	[sound:cmn-缴费.mp3]
繳納	缴纳	jiǎonà	to pay (taxes etc)	[sound:cmn-缴纳.mp3]
叫板	叫板	jiàobǎn	to signal the musicians (in Chinese opera, by prolonging a spoken word before attacking a song), (coll.) to challenge	[sound:cmn-叫板.mp3]
叫好	叫好	jiào hǎo	to applaud, to cheer	[sound:cmn-叫好.mp3]
轎車	轿车	jiàochē	(horse-drawn) carriage, saloon, passenger car, car, limousine, carriage, coach, bus, sedan	[sound:cmn-轿车.mp3]
較勁	较劲	jiào jìn	to match one's strength with, to compete, more competitive, to set oneself against sb, disobliging, to make a special effort	[sound:cmn-较劲.mp3]
較量	较量	jiàoliàng	to have a contest with sb, to cross swords, to measure up against, to compete with, to haggle, to quibble	[sound:cmn-较量.mp3]
教條	教条	jiàotiáo	creed, doctrine, religious dogma	[sound:cmn-教条.mp3]
教科書	教科书	jiàokēshū	textbook	[sound:cmn-教科书.mp3]
教養	教养	jiàoyǎng	to train, to educate, to bring up, to nurture, education, culture, upbringing, early conditioning	[sound:cmn-教养.mp3]
階層	阶层	jiēcéng	section, circle, degree, social stratum, stratum, echelon, hierarchical, walk in life, walk_of_life, rank	[sound:cmn-阶层.mp3]
階級	阶级	jiējí	state, social class, degree, people, gradation, echelon, persuasion, position, order, class, remove, social status, notch, parity, social rank, sort, step, condition, rank, social station	[sound:cmn-阶级.mp3]
皆	皆	jiē	all, everyone	[sound:cmn-皆.mp3]
階梯	阶梯	jiētī	flight of steps, (fig.) a means of advancement, stepping stone	[sound:cmn-阶梯.mp3]
結	结	jié	tie, knit, knot, weave, congeal, form, forge, cement, settle, conclude	[sound:cmn-结.mp3]
結果	结果	jiē guǒ	result, outcome, consequence	[sound:cmn-结果.mp3]
接班人	接班人	jiēbān rén	successor	[sound:cmn-接班人.mp3]
接班	接班	jiē bān	to take over (from those working the previous shift), to take over (in a leadership role etc), to succeed sb	[sound:cmn-接班.mp3]
接軌	接轨	jiē guǐ	railtrack connection, to integrate into sth, to dock, to connect, to be in step with, to bring into line with, to align	[sound:cmn-接轨.mp3]
接二連三	接二连三	jiēèr-liánsān	one after another (idiom), in quick succession	[sound:cmn-接二连三.mp3]
接濟	接济	jiējì	to give material assistance to	[sound:cmn-接济.mp3]
接見	接见	jiējiàn	to receive sb, to grant an interview	[sound:cmn-接见.mp3]
接力	接力	jiēlì	relay	[sound:cmn-接力.mp3]
接納	接纳	jiēnà	accept	[sound:cmn-接纳.mp3]
接手	接手	jiēshǒu	to take over (duties etc), catcher (baseball etc)	[sound:cmn-接手.mp3]
接送	接送	jiēsòng	picking up and dropping off, greeting and sending off, shuttle (transport service)	[sound:cmn-接送.mp3]
接聽	接听	jiētīng	to answer the phone	[sound:cmn-接听.mp3]
接通	接通	jiē tōng	to connect, to put through	[sound:cmn-接通.mp3]
揭發	揭发	jiēfā	to expose, to bring to light, to disclose, revelation	[sound:cmn-揭发.mp3]
接替	接替	jiētì	to replace, to take over (a position or post)	[sound:cmn-接替.mp3]
揭露	揭露	jiēlù	to expose, to unmask, to ferret out, to disclose, disclosure	[sound:cmn-揭露.mp3]
揭曉	揭晓	jiēxiǎo	to announce publicly, to publish, to make known, to disclose	[sound:cmn-揭晓.mp3]
揭示	揭示	jiēshì	to show, to make known	[sound:cmn-揭示.mp3]
節儉	节俭	jiéjiǎn	frugal, economical	[sound:cmn-节俭.mp3]
節水	节水	jié shuǐ	to save water	[sound:cmn-节水.mp3]
節衣縮食	节衣缩食	jiéyī-suōshí	to save on food and clothing (idiom), to live frugally	[sound:cmn-节衣缩食.mp3]
節氣	节气	jiéqi	solar term	[sound:cmn-节气.mp3]
劫	劫	jié	to rob, to plunder, to seize by force, to coerce, calamity, abbr. for kalpa 劫波[jie2 bo1]	[sound:cmn-劫.mp3]
劫持	劫持	jiéchí	to kidnap, to hijack, to abduct, to hold under duress	[sound:cmn-劫持.mp3]
潔淨	洁净	jiéjìng	clean, to cleanse	[sound:cmn-洁净.mp3]
結冰	结冰	jié bīng	to freeze	[sound:cmn-结冰.mp3]
結晶	结晶	jiéjīng	to crystallize, crystallization, crystal, crystalline, (fig.) the fruit (of labor etc)	[sound:cmn-结晶.mp3]
結局	结局	jiéjú	final result, outcome, ending	[sound:cmn-结局.mp3]
結識	结识	jiéshí	to get to know sb, to meet sb for the first time	[sound:cmn-结识.mp3]
結尾	结尾	jiéwěi	ending, coda, to wind up	[sound:cmn-结尾.mp3]
截	截	jié	m.[proximation]	[sound:cmn-截.mp3]
截然不同	截然不同	jiérán-bùtóng	entirely different, different as black and white	[sound:cmn-截然不同.mp3]
竭盡全力	竭尽全力	jiéjìn-quánlì	to spare no effort (idiom), to do one's utmost	[sound:cmn-竭尽全力.mp3]
竭力	竭力	jiélì	to do one's utmost	[sound:cmn-竭力.mp3]
解答	解答	jiědá	answer, explain	[sound:cmn-解答.mp3]
解讀	解读	jiědú	to decipher, to decode, to interpret	[sound:cmn-解读.mp3]
解救	解救	jiějiù	to rescue, to help out of difficulties, to save the situation	[sound:cmn-解救.mp3]
解剖	解剖	jiěpōu	dissect	[sound:cmn-解剖.mp3]
解雇	解雇	jiěgù	to fire, to sack, to dismiss, to terminate employment	[sound:cmn-解雇.mp3]
解散	解散	jiěsàn	disperse, dismiss, separate, disband, disincorporate, demobilize, disbandment, dissolve, usher out, let, unmerge, dismissal, break_up, demob, dissolution, break up	[sound:cmn-解散.mp3]
解脫	解脱	jiětuō	free (extricate) oneself, release from worldly cares	[sound:cmn-解脱.mp3]
解體	解体	jiě tǐ	to break up into components, to disintegrate, to collapse, to crumble	[sound:cmn-解体.mp3]
解圍	解围	jiě wéi	to lift a siege, to help sb out of trouble or embarrassment	[sound:cmn-解围.mp3]
解析	解析	jiěxī	to analyze, to resolve, (math.) analysis, analytic	[sound:cmn-解析.mp3]
介入	介入	jièrù	intervene, interpose, get involved	[sound:cmn-介入.mp3]
介意	介意	jiè yì	to care about, to take offense, to mind	[sound:cmn-介意.mp3]
